Word Spacing,Pen Pressure_LOW,Baseline_DESCENDING,Baseline_STRAIGHT,Word Size_NORMAL,Word Size_SMALL,Emotion,Attention,Optimism
450.8398784,0,0,1,0,0,,,
345.1152318,0,0,1,0,0,,,
246.1059776,0,0,1,0,1,,,
176.9688338,0,0,1,0,1,,,
415.2443664,0,0,1,0,1,,,
150.50663,1,0,1,0,1,,,
402.3354267,0,0,1,0,1,,,
215.9103027,0,0,1,0,1,,,
97.01951122,1,0,1,0,1,,,
388.2277608,1,0,1,0,0,,,
87.0,0,0,1,0,1,,,
286.7442605,1,0,1,0,1,,,
190.4360041,0,0,1,0,1,,,
374.3353815,1,0,1,0,0,,,
413.9309979,1,0,1,1,0,,,
379.9261098,0,0,1,0,1,,,
355.6257889,0,0,0,0,0,,,
270.6047158,0,0,1,0,1,,,
269.3043388,1,0,1,0,0,,,
351.9749547,1,0,1,0,1,,,
188.3869999,0,1,0,0,1,,,
866.4415733,1,0,1,0,0,,,
266.8767987,0,1,0,0,1,,,
437.2667336,1,1,0,0,0,,,
244.7398746,1,1,0,0,1,,,
266.0047712,1,0,1,1,0,,,
382.2047515,1,1,0,0,1,,,
454.9813183,0,0,1,1,0,,,
237.6860665,1,0,0,1,0,,,
747.2964606,0,0,1,0,1,,,
399.4967431,0,0,1,0,1,,,
397.6907188,1,1,0,0,1,,,
375.2470547,1,0,1,1,0,,,
118.4736258,1,1,0,0,1,,,
109.4124259,1,0,1,0,0,,,
263.6846793,1,0,1,0,0,,,
308.4636967,1,0,1,1,0,,,
658.859504,1,0,1,0,1,,,
43.03112887,1,0,1,0,1,,,
356.1151499,1,0,1,0,0,,,
274.9775251,0,0,1,0,1,,,
372.818773,1,0,1,0,1,,,
90.69564481,1,0,1,0,1,,,
347.5184879,1,0,1,0,1,,,
435.651804,1,0,1,0,0,,,
315.5427674,0,0,1,0,0,,,
474.4634255,0,1,0,0,1,,,
313.6229491,1,0,1,0,0,,,
68.0,1,1,0,0,1,,,
414.723495,0,0,1,0,0,,,
342.9677743,1,0,1,0,1,,,
528.2254937,1,1,0,0,1,,,
72.02779997,1,0,1,0,1,,,
227.2039015,1,0,1,1,0,,,
29.16696752,0,1,0,0,0,,,
198.3612989,1,0,1,0,0,,,
433.4597751,1,0,1,0,1,,,
384.3889289,1,0,1,1,0,,,
532.7704931,1,0,1,1,0,,,
276.237984,1,0,1,0,1,,,
339.2352481,1,0,0,0,1,,,
102.5494545,0,0,1,0,1,,,
440.8878095,1,0,1,1,0,,,
505.8201646,1,0,1,0,0,,,
455.105605,0,0,1,0,0,,,
267.207878,0,0,1,0,0,,,
377.8563566,1,0,1,0,0,,,
401.5855795,1,0,1,0,1,,,
50.36185237,0,0,1,0,1,,,
320.3496125,0,0,1,1,0,,,
46.82817038,1,0,1,0,1,,,
150.9178306,1,0,1,1,0,,,
349.6988788,1,0,1,0,0,,,
194.966287,1,0,1,0,1,,,
388.4253136,0,0,1,0,1,,,
229.3722883,0,0,1,0,1,,,
358.0788549,0,0,1,0,0,,,
181.1987859,1,0,1,0,0,,,
461.5354456,1,1,0,0,0,,,
321.8810171,0,0,1,0,1,,,
371.2561263,1,0,1,0,1,,,
46.14791148,1,1,0,0,0,,,
206.9559371,1,0,0,0,0,,,
287.1827979,1,0,1,0,1,,,
416.3513408,1,1,0,0,1,,,
443.4005701,1,0,1,0,1,,,
491.7806814,0,1,0,0,1,,,
581.9837863,1,1,0,0,1,,,
321.7279939,1,1,0,0,0,,,
141.3534164,0,0,1,0,1,,,
556.8521276,0,0,1,0,1,,,
453.97009,0,0,1,0,0,,,
195.2572327,1,0,1,0,1,,,
390.8114796,1,1,0,0,1,,,
371.1781212,0,1,0,0,1,,,
443.2755794,1,0,1,0,1,,,
201.8162793,0,0,1,0,1,,,
251.1440712,0,0,1,0,1,,,
159.099245,0,0,1,1,0,,,
356.2114827,1,1,0,0,0,,,
342.1297624,1,0,0,0,1,,,
225.2506078,1,0,1,0,1,,,
95.19102252,1,0,1,1,0,,,
342.7424667,0,0,1,0,1,,,
417.9027636,1,0,1,1,0,,,
273.529497,1,0,1,1,0,,,
326.1610289,0,1,0,0,0,,,
430.066274,0,0,1,0,0,,,
311.0332561,1,0,0,0,1,,,
247.5112434,1,0,1,0,1,,,
418.891723,0,0,1,0,1,,,
492.3303991,0,0,1,0,1,,,
407.7010151,1,1,0,0,1,,,
300.1618061,1,0,1,1,0,,,
313.4357348,1,0,1,0,0,,,
282.1282363,0,0,1,0,1,,,
386.9382568,0,0,1,0,0,,,
572.5886004,1,0,1,0,1,,,
293.6512261,1,1,0,0,0,,,
365.0111374,1,0,1,1,0,,,
212.8439265,1,0,1,0,1,,,
386.7054869,1,0,1,0,1,,,
158.6324501,1,0,1,0,1,,,
374.9880741,0,0,1,0,1,,,
336.1798361,1,0,1,0,1,,,
241.8208819,1,0,1,0,1,,,
273.4511754,0,0,1,0,1,,,
473.2553508,0,0,1,1,0,,,
191.4194283,0,0,1,0,1,,,
185.0519594,1,0,1,1,0,,,
432.1100784,1,0,1,0,1,,,
270.2682719,1,0,1,0,0,,,
164.3640555,1,1,0,0,1,,,
383.7314742,1,0,1,0,1,,,
112.4540972,0,1,0,0,0,,,
311.4324386,1,0,1,0,1,,,
83.00602388,1,0,1,0,0,,,
460.6530304,1,0,1,0,1,,,
376.2427042,1,0,0,0,1,,,
195.7068887,1,0,1,0,0,,,
412.6330089,0,0,1,1,0,,,
165.7415655,1,0,1,0,0,,,
351.1451442,1,0,1,0,1,,,
283.5835075,1,0,1,1,0,,,
396.4918479,0,0,1,1,0,,,
63.26478572,1,0,1,0,1,,,
414.673771,1,0,1,0,0,,,
544.606036,1,0,1,0,1,,,
466.2447999,1,0,1,1,0,,,
349.8011109,1,1,0,0,1,,,
271.7898202,1,0,1,0,1,,,
379.8051057,1,0,1,0,1,,,
