Unnamed: 0,Word Spacing,Size,Pen Pressure,Baseline
351,315.5462939,1.118206988,154,STRAIGHT
352,370.5833488,0.412603638,174,STRAIGHT
353,177.0830109,1.009953989,181,STRAIGHT
354,254.7567467,0.5530795538,176,STRAIGHT
355,387.7792154,1.723434919,180,STRAIGHT
356,343.5794476,1.355821999,187,ASSENDING
357,469.0826061,0.597310661,139,STRAIGHT
358,294.2790677,1.147179052,122,STRAIGHT
359,321.26773,1.145647281,86,STRAIGHT
360,495.0227915,0.5673756942,46,STRAIGHT
361,397.3852325,0.6402474979,36,ASSENDING
362,314.610224,1.297392465,128,DESCENDING
363,344.1215337,2.893121385,197,STRAIGHT
364,396.0766101,4.228525534,165,STRAIGHT
365,409.9444302,0.4198480348,177,STRAIGHT
366,403.1280934,1.165607633,138,STRAIGHT
367,295.8467873,2.299086452,187,DESCENDING
368,45.2321246,1.477668348,131,STRAIGHT
369,473.2642765,0.704556807,113,ASSENDING
370,205.3411795,0.5758043637,99,STRAIGHT
371,357.0155942,1.58308683,86,STRAIGHT
372,434.8452957,1.189966927,93,STRAIGHT
373,312.1976167,0.5124911862,180,STRAIGHT
374,369.9793016,3.466122761,152,STRAIGHT
375,400.7106577,3.970187894,116,STRAIGHT
376,365.0981878,1.005176309,103,STRAIGHT
377,334.5622296,0.6294025523,98,ASSENDING
378,410.8980374,0.5019178981,96,STRAIGHT
379,466.1455969,2.297359589,107,STRAIGHT
380,265.665826,2.00135159,165,STRAIGHT
381,384.3644516,1.08621739,127,STRAIGHT
382,417.3079631,2.26328841,117,STRAIGHT
383,253.1413299,1.344051454,105,STRAIGHT
384,281.3575992,1.056569284,98,STRAIGHT
385,185.1522006,1.159614684,113,STRAIGHT
386,429.1217959,0.4594025247,117,STRAIGHT
387,172.9396817,1.129506345,167,STRAIGHT
388,393.0945844,0.8630789193,199,STRAIGHT
389,321.7418866,0.7410868099,184,STRAIGHT
390,667.4563656,0.748477063,190,STRAIGHT
391,322.684056,2.956286539,146,STRAIGHT
392,475.7942186,0.4386446014,137,STRAIGHT
393,252.1917429,0.7619942347,140,STRAIGHT
394,389.0880497,0.7247744266,149,STRAIGHT
395,868.3317338,1.264953374,132,STRAIGHT
396,478.5719614,0.5684055592,152,STRAIGHT
397,314.0211413,1.73310899,199,STRAIGHT
398,236.8955934,0.7254899328,193,STRAIGHT
399,312.2551962,0.9045926186,194,DESCENDING
400,242.1504802,0.8653254379,179,STRAIGHT
401,204.7977381,0.5256497232,160,STRAIGHT
402,443.117207,1.3376427,176,DESCENDING
403,311.5684042,2.74791628,199,STRAIGHT
404,949.5472605,0.5695525412,199,STRAIGHT
405,342.0119552,1.727886069,163,STRAIGHT
406,310.7751607,0.5596023336,136,ASSENDING
407,129.9354622,1.022395277,187,STRAIGHT
408,320.9409919,0.588329537,185,STRAIGHT
409,417.5459801,1.706702988,165,DESCENDING
410,283.4511266,1.765040386,148,STRAIGHT
411,284.4496258,0.7959031836,146,STRAIGHT
412,199.6274874,0.5212782496,140,STRAIGHT
413,476.1106442,0.7354267183,168,STRAIGHT
414,949.3034288,1.927554498,149,STRAIGHT
415,89,0.460477886,141,STRAIGHT
